t,S,I,R
2020-12-01,4866563,9663,23774
2020-12-02,4865741,9835,24424
2020-12-03,4865060,10012,24928
2020-12-04,4864360,9982,25658
2020-12-05,4863731,10611,25658
2020-12-06,4863015,11327,25658
2020-12-07,4862375,10338,27287
2020-12-08,4861825,10278,27897
2020-12-09,4861222,10330,28448
2020-12-10,4860527,10525,28948
2020-12-11,4859801,10601,29598
2020-12-12,4859131,11271,29598
2020-12-13,4858456,11946,29598
2020-12-14,4857704,11089,31207
2020-12-15,4857205,10929,31866
2020-12-16,4856589,11035,32376
2020-12-17,4855937,11100,32963
2020-12-18,4855324,11087,33589
2020-12-19,4854700,11711,33589
2020-12-20,4854222,12189,33589
2020-12-21,4853698,10847,35455
2020-12-22,4853267,10639,36094
2020-12-23,4852769,10279,36952
2020-12-24,4852199,10017,37784
2020-12-25,4851712,10504,37784
2020-12-26,4851279,10937,37784
2020-12-27,4850869,11347,37784
2020-12-28,4850439,11777,37784
2020-12-29,4850067,8758,41175
2020-12-30,4849593,8726,41681
2020-12-31,4848911,8962,42127
2021-01-01,4848346,9527,42127
2021-01-02,4847739,10134,42127
2021-01-03,4847239,10634,42127
2021-01-04,4846745,8026,45229
2021-01-05,4846325,7676,45999
2021-01-06,4845708,7564,46728
2021-01-07,4844955,7671,47374
2021-01-08,4844356,7439,48205
2021-01-09,4843829,7966,48205
2021-01-10,4843328,8467,48205
2021-01-11,4842903,6556,50541
2021-01-12,4842466,6390,51144
2021-01-13,4841959,6148,51893
2021-01-14,4841430,5965,52605
2021-01-15,4840930,5955,53115
2021-01-16,4840363,6522,53115
2021-01-17,4839927,6958,53115
2021-01-18,4839631,5713,54656
2021-01-19,4839178,5723,55099
2021-01-20,4838692,5744,55564
2021-01-21,4838143,5847,56010
2021-01-22,4837644,5901,56455
2021-01-23,4837117,6428,56455
2021-01-24,4836646,6899,56455
2021-01-25,4836326,5843,57831
2021-01-26,4835934,5714,58352
2021-01-27,4835453,5769,58778
2021-01-28,4834919,5940,59141
2021-01-29,4834410,6039,59551
2021-01-30,4834002,6447,59551
2021-01-31,4833529,6920,59551
2021-02-01,4833273,5610,61117
2021-02-02,4832852,6019,61129
2021-02-03,4832454,5903,61643
2021-02-04,4831995,5927,62078
2021-02-05,4831530,5903,62567
2021-02-06,4831102,6331,62567
2021-02-07,4830637,6796,62567
2021-02-08,4830307,4088,65605
2021-02-09,4829876,4506,65618
2021-02-10,4829413,4420,66167
2021-02-11,4828973,4424,66603
2021-02-12,4828538,4454,67008
2021-02-13,4828096,4896,67008
2021-02-14,4827670,5322,67008
2021-02-15,4827329,5663,67008
2021-02-16,4827031,5961,67008
2021-02-17,4826607,4226,69167
2021-02-18,4825994,4404,69602
2021-02-19,4825492,4538,69970
2021-02-20,4824988,5042,69970
2021-02-21,4824513,5517,69970
2021-02-22,4824072,4615,71313
2021-02-23,4823478,4769,71753
2021-02-24,4822988,4793,72219
2021-02-25,4822566,4653,72781
2021-02-26,4822015,4797,73188
2021-02-27,4821446,5366,73188
2021-02-28,4820901,5911,73188
2021-03-01,4820434,4790,74776
2021-03-02,4819998,4747,75255
2021-03-03,4819463,4718,75819
2021-03-04,4818903,4808,76289
2021-03-05,4818273,4975,76752
2021-03-06,4817731,5517,76752
2021-03-07,4817203,6045,76752
2021-03-08,4816822,4941,78237
2021-03-09,4816274,4956,78770
2021-03-10,4815744,4947,79309
2021-03-11,4815178,4993,79829
2021-03-12,4814530,5145,80325
2021-03-13,4813979,5696,80325
2021-03-14,4813491,6184,80325
2021-03-15,4813034,5076,81890
2021-03-16,4812478,5086,82436
2021-03-17,4811984,4933,83083
2021-03-18,4811370,2017,86613
2021-03-19,4810635,5287,84078
2021-03-20,4810079,5843,84078
2021-03-21,4809481,6441,84078
2021-03-22,4808866,5388,85746
2021-03-23,4808185,5508,86307
2021-03-24,4807472,5671,86857
2021-03-25,4806677,5972,87351
2021-03-26,4805772,6362,87866
2021-03-27,4804839,7295,87866
2021-03-28,4804035,8099,87866
2021-03-29,4803260,7018,89722
2021-03-30,4802420,7179,90401
2021-03-31,4801410,7524,91066
2021-04-01,4800583,7685,91732
2021-04-02,4799509,8759,91732
2021-04-03,4798432,9836,91732
2021-04-04,4797433,10835,91732
2021-04-05,4796566,8628,94806
2021-04-06,4795501,8808,95691
2021-04-07,4794506,8868,96626
2021-04-08,4793215,9323,97462
2021-04-09,4791955,9709,98336
2021-04-10,4791955,9709,98336
